action_diversity,budget_burn_rate,budget_final,budget_initial,budget_max,budget_min,crash_type,crashed,cumulative_pe.causal.fast,cumulative_pe.causal.med,cumulative_pe.causal.slow,cumulative_pe.cost.fast,cumulative_pe.cost.med,cumulative_pe.cost.slow,cumulative_pe.quantity.fast,cumulative_pe.quantity.med,cumulative_pe.quantity.slow,cumulative_pe.temporal.fast,cumulative_pe.temporal.med,cumulative_pe.temporal.slow,final_budget,final_storage.sku_0,final_storage.sku_1,final_storage.sku_2,final_storage.sku_3,final_storage.sku_4,final_storage.sku_5,final_storage.sku_6,final_storage.sku_7,final_storage.sku_8,final_storage.sku_9,fulfilled_orders,max_repeat_streak,model_load_error,model_load_failed,most_common_action,most_common_action_count,num_repeated_actions,params.agent.interface.prediction_mode,params.agent.model.name,params.combination_id,params.pe_induction.p_shock,params.pe_induction.pe_mag,params.replication_id,params.seed,pe_causal_fast_final,pe_causal_med_final,pe_causal_slow_final,run_id,scratchpad_deletes,scratchpad_final_size,scratchpad_max_size,scratchpad_reads,scratchpad_used,scratchpad_writes,seed,total_orders_requested,total_steps,went_bankrupt
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,57,,False,tool_check_inbox,163,4,required,meta-llama/Llama-3.1-8B-Instruct,0,0.0,low,0,0,0.0,0.0,0.0,1771279366_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,53,,False,tool_check_inbox,109,2,required,meta-llama/Llama-3.1-8B-Instruct,0,0.0,low,4,4,0.0,0.0,0.0,1771279402_42,0,0,0,0,False,0,42,0,56,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2167.232745382418,50,0,0,0,0,0,0,0,0,0,1,10,,False,tool_check_inbox,36,7,required,allenai/OLMo-2-1124-13B-Instruct,1,0.0,low,0,5,0.0,0.0,0.0,1771279448_42,0,0,0,0,False,0,42,2,36,False
2,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-609.0969375194211,25,0,0,0,0,0,0,0,0,0,1,3,,False,tool_check_inbox,4,0,required,allenai/OLMo-2-1124-13B-Instruct,1,0.0,low,2,7,0.0,0.0,0.0,1771279476_42,0,0,0,0,False,0,42,2,6,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2091.865217528133,0,100,0,0,0,0,0,0,0,0,1,8,,False,tool_check_inbox,23,5,required,allenai/OLMo-2-1124-13B-Instruct,1,0.0,low,3,8,0.0,0.0,0.0,1771279550_42,0,0,0,0,False,0,42,2,32,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-765.1267305067896,0,25,0,0,0,0,0,0,0,0,1,8,,False,tool_check_inbox,16,3,required,allenai/OLMo-2-1124-13B-Instruct,1,0.0,low,4,9,0.0,0.0,0.0,1771279556_42,0,0,0,0,False,0,42,5,22,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,required,deepseek-ai/deepseek-llm-7b-chat,2,0.0,low,0,10,0.0,0.0,0.0,1771279599_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-380.2533231545274,0,20,0,0,0,0,0,0,0,0,1,3,,False,tool_check_inbox,4,0,required,deepseek-ai/deepseek-llm-7b-chat,2,0.0,low,1,11,0.0,0.0,0.0,1771279642_42,0,0,0,0,False,0,42,1,5,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,40,,False,tool_check_inbox,55,1,required,deepseek-ai/deepseek-llm-7b-chat,2,0.0,low,2,12,0.0,0.0,0.0,1771279673_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.55151399622264,50,0,0,0,0,0,0,0,0,0,1,99,,False,tool_check_inbox,146,2,optional,meta-llama/Llama-3.1-8B-Instruct,3,0.0,low,0,15,0.0,0.0,0.0,1771279719_42,0,0,0,0,False,0,42,1,36,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,52,,False,tool_check_inbox,161,6,optional,meta-llama/Llama-3.1-8B-Instruct,3,0.0,low,2,17,0.0,0.0,0.0,1771279805_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1818.825998439841,50,0,0,0,0,0,0,0,0,0,1,40,,False,tool_check_inbox,46,1,optional,meta-llama/Llama-3.1-8B-Instruct,3,0.0,low,4,19,0.0,0.0,0.0,1771279844_42,0,0,0,0,False,0,42,1,47,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-359.53142820506537,0,30,0,0,0,0,0,0,0,0,1,4,,False,tool_check_inbox,9,2,optional,allenai/OLMo-2-1124-13B-Instruct,4,0.0,low,0,20,0.0,0.0,0.0,1771279853_42,0,0,0,0,False,0,42,1,13,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1801.9133837134723,0,50,0,0,0,0,0,0,0,0,1,5,,False,tool_check_inbox,21,7,optional,allenai/OLMo-2-1124-13B-Instruct,4,0.0,low,2,22,0.0,0.0,0.0,1771279883_42,0,0,0,0,False,0,42,3,19,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,38,,False,tool_check_inbox,115,7,optional,deepseek-ai/deepseek-llm-7b-chat,5,0.0,low,1,26,0.0,0.0,0.0,1771279927_42,0,0,0,0,False,0,42,0,56,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,optional,deepseek-ai/deepseek-llm-7b-chat,5,0.0,low,2,27,0.0,0.0,0.0,1771280030_42,0,0,0,0,False,0,42,0,56,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,optional,deepseek-ai/deepseek-llm-7b-chat,5,0.0,low,4,29,0.0,0.0,0.0,1771280218_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,74,,False,tool_check_inbox,109,3,required,meta-llama/Llama-3.1-8B-Instruct,6,0.0,high,0,30,0.0,0.0,0.0,1771280222_42,0,0,0,0,False,0,42,0,56,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,23,,False,tool_check_inbox,74,5,required,meta-llama/Llama-3.1-8B-Instruct,6,0.0,high,3,33,0.0,0.0,0.0,1771280272_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,50,,False,tool_check_inbox,57,2,required,meta-llama/Llama-3.1-8B-Instruct,6,0.0,high,1,31,0.0,0.0,0.0,1771280278_42,0,0,0,0,False,0,42,1,59,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2731.286737038147,100,0,0,0,0,0,0,0,0,0,1,8,,False,tool_check_inbox,21,3,required,meta-llama/Llama-3.1-8B-Instruct,6,0.0,high,4,34,0.0,0.0,0.0,1771280301_42,0,0,0,0,False,0,42,1,24,False
4,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2140.9604925469557,0,50,0,0,0,0,0,0,0,0,1,6,,False,tool_check_inbox,26,4,required,allenai/OLMo-2-1124-13B-Instruct,7,0.0,high,0,35,0.0,0.0,0.0,1771280303_42,0,0,0,0,False,0,42,3,19,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1673.650899965063,70,0,0,0,0,0,0,0,0,0,1,4,,False,tool_check_inbox,6,1,required,allenai/OLMo-2-1124-13B-Instruct,7,0.0,high,2,37,0.0,0.0,0.0,1771280341_42,0,0,0,0,False,0,42,1,7,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,35,,False,tool_check_inbox,54,2,required,deepseek-ai/deepseek-llm-7b-chat,8,0.0,high,0,40,0.0,0.0,0.0,1771280376_42,0,0,0,0,False,0,42,0,56,False
4,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2118.8983061481345,50,0,0,0,0,0,0,0,0,0,1,7,,False,tool_check_inbox,32,10,required,allenai/OLMo-2-1124-13B-Instruct,7,0.0,high,3,38,0.0,0.0,0.0,1771280378_42,0,0,0,0,False,0,42,5,23,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,required,deepseek-ai/deepseek-llm-7b-chat,8,0.0,high,1,41,0.0,0.0,0.0,1771280414_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,40,,False,tool_check_inbox,94,2,required,deepseek-ai/deepseek-llm-7b-chat,8,0.0,high,2,42,0.0,0.0,0.0,1771280487_42,0,0,0,0,False,0,42,0,56,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,required,deepseek-ai/deepseek-llm-7b-chat,8,0.0,high,4,44,0.0,0.0,0.0,1771280525_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,47,,False,tool_check_inbox,55,1,optional,meta-llama/Llama-3.1-8B-Instruct,9,0.0,high,1,46,0.0,0.0,0.0,1771280573_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,55,,False,tool_check_inbox,55,1,optional,meta-llama/Llama-3.1-8B-Instruct,9,0.0,high,0,45,0.0,0.0,0.0,1771280578_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1598.2537821948308,50,0,0,0,0,0,0,0,0,0,1,5,,False,tool_check_inbox,11,2,optional,meta-llama/Llama-3.1-8B-Instruct,9,0.0,high,2,47,0.0,0.0,0.0,1771280682_42,0,0,0,0,False,0,42,1,13,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,121,3,optional,meta-llama/Llama-3.1-8B-Instruct,9,0.0,high,4,49,0.0,0.0,0.0,1771280743_42,0,0,0,0,False,0,42,0,56,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1689.585544828112,0,50,0,0,0,0,0,0,0,0,1,7,,False,tool_check_inbox,38,11,optional,allenai/OLMo-2-1124-13B-Instruct,10,0.0,high,1,51,0.0,0.0,0.0,1771280805_42,0,0,0,0,False,0,42,4,36,False
3,0,0,0,0,0,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3766.168970136939,85,0,0,0,0,0,0,0,0,0,1,2,,False,tool_check_inbox,4,1,optional,allenai/OLMo-2-1124-13B-Instruct,10,0.0,high,2,52,0.0,0.0,0.0,1771280810_42,0,0,0,0,False,0,42,2,7,False
3,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-562.6442839532759,40,0,0,0,0,0,0,0,0,0,1,56,,False,tool_check_inbox,121,3,optional,allenai/OLMo-2-1124-13B-Instruct,10,0.0,high,4,54,0.0,0.0,0.0,1771280908_42,0,0,0,0,False,0,42,1,12,False
1,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,56,,False,tool_check_inbox,56,0,optional,deepseek-ai/deepseek-llm-7b-chat,11,0.0,high,4,59,0.0,0.0,0.0,1771281021_42,0,0,0,0,False,0,42,0,56,False
2,0,0,0,0,0,looping,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,0,0,0,0,0,0,0,0,0,74,,False,tool_check_inbox,111,1,optional,deepseek-ai/deepseek-llm-7b-chat,11,0.0,high,2,57,0.0,0.0,0.0,1771281030_42,0,0,0,0,False,0,42,1,56,False
